method,mean_violations,std_violations,mean_worst_fnr,std_worst_fnr,mean_marginal,mean_stretch,std_stretch
Shrinkage n0=9,1.3333333333333333,1.247219128924647,0.1118277539698324,0.011066629697286565,0.08470205780937423,28.751657581362263,7.728397331620613
Shrinkage n0=8,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.08423423787065898,30.286249307428978,5.592352231559329
Shrinkage n0=7,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.0840089675803855,37.931286251298516,9.557999279026426
Shrinkage n0=6,1.3333333333333333,1.247219128924647,0.10834407953131081,0.007481720628758786,0.08303150559721889,50.982627433359845,9.35631536436099
Shrinkage n0=5,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,0.08222348191345978,63.50259309378841,4.6358770597672985
Shrinkage n0=4,1.3333333333333333,1.247219128924647,0.10857714848605647,0.007675257926846204,0.08185978150694008,69.8097455785054,5.844818359434068
Adaptive-sqrt c=10,1.3333333333333333,1.247219128924647,0.10942191669463715,0.008447662885970124,0.08090415553105852,71.70987215749636,7.2109376045649425
Adaptive c=3.0,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08082668609881642,71.96194712206062,5.414618603697461
Shrinkage n0=3,1.3333333333333333,1.247219128924647,0.10942191669463715,0.008447662885970124,0.08068043368994567,75.26283374756987,3.5086648607261073
Shrinkage n0=2,1.3333333333333333,1.247219128924647,0.10942191669463715,0.008447662885970124,0.08050027432610012,79.2171512450289,7.073253538518902
Shrinkage n0=1,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive c=0.5,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive c=1.0,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive c=2.0,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
Adaptive-sqrt c=5,1.3333333333333333,1.247219128924647,0.10994550605888546,0.00897299199113208,0.08028565529571173,81.04864218964049,6.289030177793341
B2 Per-site Local,1.3333333333333333,1.247219128924647,0.11099268478738207,0.010104825046333773,0.07990903036490254,83.22971309765909,3.478314479402874
Adaptive-sqrt c=20,1.6666666666666667,1.699673171197595,0.10857714848605647,0.007675257926846204,0.08499849209685861,19.613271325191516,8.135418593099518
Adaptive c=5.0,1.6666666666666667,1.699673171197595,0.10942191669463715,0.008447662885970124,0.08284768865590204,37.193452237017766,6.887741855198922
Adaptive-sqrt c=30,2.0,1.4142135623730951,0.11544883316393462,0.006320070698634243,0.0866680773075007,8.285547213093363,1.9051824707983511
Adaptive c=10.0,2.0,1.4142135623730951,0.11902590391664769,0.011307322189767727,0.08571666472442697,10.11012896264651,3.596673786994433
Adaptive c=8.0,2.0,1.4142135623730951,0.11620675689119377,0.01407993739466167,0.08497319455040425,14.65142151260216,9.607732798861537
Shrinkage n0=10,2.0,0.816496580927726,0.1128613679876787,0.009778237564251498,0.08558097931280839,20.099729015180746,10.148641915356851
Shrinkage n0=14,2.3333333333333335,1.247219128924647,0.11568051501313265,0.006639812819742942,0.08696035078916266,7.130209357528408,5.161308206758305
Shrinkage n0=13,2.3333333333333335,1.247219128924647,0.11568051501313265,0.006639812819742942,0.08689560012752125,9.595781242768302,5.415649216817871
Shrinkage n0=12,2.3333333333333335,1.247219128924647,0.11568051501313265,0.006639812819742942,0.08659232784361343,10.081600783062681,5.836730729207153
Shrinkage n0=11,2.3333333333333335,1.247219128924647,0.1128613679876787,0.009778237564251498,0.08606187811835982,13.891581912391407,5.793255915022114
Shrinkage n0=19,2.6666666666666665,1.699673171197595,0.12480248350256207,0.009236621143211289,0.08831888204050471,1.9858164504287112,0.0914783626546561
Shrinkage n0=18,2.6666666666666665,1.699673171197595,0.12480248350256207,0.009236621143211289,0.08778197028438701,3.0208333167348758,1.4994023317602667
Shrinkage n0=17,2.6666666666666665,1.699673171197595,0.12198333647710814,0.009638633045092238,0.08742549747812782,3.041648424650582,1.5055909766771591
Shrinkage n0=16,2.6666666666666665,1.699673171197595,0.12198333647710814,0.009638633045092238,0.08761410282192206,3.061640672940694,1.5105374605841198
Shrinkage n0=15,2.6666666666666665,1.699673171197595,0.11849966203858658,0.004934638639658371,0.08720069503074768,4.384989081063906,1.7529650268078403
Shrinkage n0=23,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,0.08887840463368944,1.9289536319338128,0.09383371955464367
Shrinkage n0=22,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,0.08875623961996763,1.9484245628081969,0.09068364614051624
Shrinkage n0=21,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,0.08866660305616984,1.9595056375790574,0.0924919644704773
Shrinkage n0=20,3.3333333333333335,2.6246692913372702,0.12480248350256207,0.009236621143211289,0.08850772865696595,1.975847336692177,0.09385290120609711
Adaptive c=15.0,3.3333333333333335,3.2998316455372216,0.13181833947298166,0.018197357188424624,0.08753438612018745,3.9964129966063062,1.498021243833298
Adaptive-sqrt c=50,3.6666666666666665,3.091206165165235,0.12824126872026856,0.013461249544737887,0.08853413428372357,2.9716105341118535,1.5019987273847015
Adaptive c=20.0,3.6666666666666665,3.091206165165235,0.1346374864984356,0.017770442668454907,0.08845915840869484,3.917830839446965,1.4933815201846024
Shrinkage n0=29,4.0,3.559026084010437,0.13404547951341772,0.009855335695387758,0.08955039338418375,1.8666630489155949,0.08655903120774634
Shrinkage n0=28,4.0,3.559026084010437,0.13404547951341772,0.009855335695387758,0.08949926947085307,1.8747582089133206,0.08726678373591146
Shrinkage n0=27,4.0,3.559026084010437,0.13110530496653758,0.013686856112246223,0.08917192649392251,1.8868732572458118,0.09162778753788366
Shrinkage n0=26,4.0,3.559026084010437,0.13110530496653758,0.013686856112246223,0.08906179115265639,1.9040359037521934,0.0989529516740209
Shrinkage n0=25,4.0,3.559026084010437,0.13110530496653758,0.013686856112246223,0.08916893610085563,1.9112801849017151,0.10019068511694688
Shrinkage n0=24,4.0,3.559026084010437,0.1310604157457225,0.013638865056893046,0.08900437156992154,1.9170303046533619,0.09473855102385174
Shrinkage n0=30,4.333333333333333,4.0276819911981905,0.13404547951341772,0.009855335695387758,0.09036161141957354,1.8555091859918413,0.08917516266920551
Adaptive-sqrt c=75,4.666666666666667,3.0912061651652345,0.1374566335238895,0.018227007884649607,0.08958413277601535,2.8636600483228616,1.4955040656797232
Adaptive-sqrt c=100,5.333333333333333,3.39934634239519,0.1374566335238895,0.018227007884649607,0.0905966527533388,1.7991313891805856,0.08624970961296666
Shrinkage n0=50,5.666666666666667,3.8586123009300755,0.1434236322303413,0.010463558961458121,0.09193048831429029,1.7508486424875285,0.09018683621411928
Shrinkage n0=100,6.333333333333333,3.39934634239519,0.15618844519903335,0.015563718853964747,0.09397240956152504,1.634678669465335,0.09246949684339364
Shrinkage n0=75,6.333333333333333,4.189935029992179,0.15274302864635472,0.011036423382666846,0.09329089889698768,1.679029135859088,0.09171812877042743
Shrinkage n0=150,7.0,2.449489742783178,0.16203441638405883,0.01160234737686072,0.09450449196401213,1.597298329605616,0.08760546166954769
Shrinkage n0=200,7.333333333333333,2.494438257849294,0.16540665097330806,0.01609461787316686,0.0961213406503456,1.571562215278585,0.08794502644677857
B3 Naive Pooled,8.0,2.449489742783178,0.17787026078557244,0.014615746031031806,0.1021862235618665,1.462760644293331,0.054274038252085544
